Name,latitude,longitude
Bakairí,-14,-55
Bikol,13.33333333,123.5
Bakundu,4.833333333,9.333333333
Batak (Karo),3.25,98.25
Brokskat,35.33333333,76.5
Bakueri,4.25,9.25
Blackfoot,50,-112.6666667
Baluchi,28,62
Baule,7,-5
Balangao,17.16666667,121.1666667
Baale,6.5,34.5
Balantak,-0.833333333,123.25
Bilin,15.75,38.5
Bole,11.33333333,11.25
Belorussian,54,28
Balti,35,76
Bena-Lulua,-6,21
Biloxi,30.5,-88.66666667
Balyku,-22,120
Balanta,12.25,-15.33333333
Berber (Middle Atlas),33,-5
Bimoba,10.5,0
Bamun,5.5,10.91666667
Burum,-6.5,147.3333333
Berber (Mzab),32.5,3.5
Banawá,-7,-65
Bunuba,-17.75,125.75
Bandi,8.083333333,-10.25
Baining,-4.583333333,152
Bini,6.416666667,5.833333333
Bandjalang,-28.75,153
Bankon,4.416666667,9.583333333
Banggarla,-32,137
Binumarien,-6.283333333,146.0833333
Banoni,-6.416666667,155.25
Waimaha,0.333333333,-70.25
Beng,7.833333333,-4.25
Bilinarra,-16,131.6666667
Bantik,1.416666667,124.75
Bularnu,-21,138
Baniwa,2.666666667,-66.83333333
Boazi,-7,141.3333333
Bobangi,-1.333333333,17.33333333
Bodo,26.83333333,92
Boiken,-3.5,143.5
Bori,28.33333333,94.75
Boko,10.5,3.5
Bolia,-1.25,18.33333333
Bongu,-5.5,145.9166667
Bokar,28.5,94.66666667
Bora,-2.166666667,-72.33333333
Bosnian,43,18
Berber (Wargla),31.91666667,5.333333333
Bozo (Tigemaxo),15,-4
Bura-Pabir,10.5,12.25
Bahnar (Plei Bong-Mang Yang),13.83333333,108.3333333
Basque (Bidasoa Valley),43,-3.833333333
Basque (Gernica),43.33333333,-3
Basque (Hondarribia),42.5,-3
Basque (Basaburua and Imoz),43,-1.666666667
Basque (Lekeitio),43,-2.5
Basque (Northern High Navarrese),43.33333333,-2.5
Basque (Oñati),42.5,-3.5
Basque (Roncalese),43,-2
Basque (Sakana),42.5,-2
Basque (Zeberio),42,-3
Brao,14.16666667,107.5
Bariba,10,2.5
Boruca,8.833333333,-83.25
Bardi,-16.58333333,122.9166667
Breton,48,-3
Berber (Rif),34.5,-4
Brahui,28.5,67
Bribri,9.416666667,-83
Burji,5.5,37.83333333
Berik,-2.25,138.8333333
Baragaunle,28.83333333,83.83333333
Burmese,21,96
Burunge,-5.333333333,36
Broken,-10.16666667,143
Barupu,-3.083333333,142.0833333
Bororo,-16,-57
Barasano,-0.166666667,-70.66666667
Bru (Eastern),17.33333333,106
Bru (Western),16.75,104.75
Baruya,-6.916666667,145.9166667
Birri,5.5,25.16666667
Berber (Ayt Seghrouchen Middle Atlas),33.33333333,-4.666666667
Bushoong,-4.5,21.5
Berber (Siwa),29.16666667,25.5
Bashkir,53,58
British Sign Language,52,-1
Bislama,-16,168
Basque (Souletin),43.5,-1.5
Basque,43,-3
Basari,12.66666667,-13
Bathari,18,56
Betoi,7.166666667,-71.25
Bontok,17.08333333,120.9166667
Batak (Toba),2.5,99
Burarra,-12.25,134.5833333
Bubi,3.5,8.666666667
Buduma,13.5,14.5
Bugis,-4,120
Buli (in Indonesia),1,128.5
Bujeba,3,10.16666667
Bukusu,0.75,34.66666667
Bulgarian,42.5,25
Buma,-11.63333333,166.8333333
Buin,-6.75,155.75
Burushaski,36.5,74.5
Busa,9.666666667,4
Buriat,52,108
Buru,-3.5,126.5
Bulu,3,11
Buli (in Ghana),10.5,-1.25
Bali-Vitu,-4.9,149.1166667
Bandjalang (Waalubal),-29.08333333,152.5833333
Bajau (West Coast),6.333333333,116.3333333
Bayungu,-23,114
Byansi,30.16666667,80.5
Bayso,6.25,37.75
Bandjalang (Yugumbir),-27.91666667,153
Bauzi,-2.5,137.5
Cabécar,9.75,-83.41666667
Cacua,1.083333333,-70
Caddo,33.33333333,-93.5
Cahuilla,33.5,-116.25
Chai,5.333333333,35.33333333
Cakchiquel,14.5,-91
Camsá,1.166666667,-77
Candoshi,-4.166666667,-77
Capanahua,-7,-74
Carib,5.5,-56
Cashibo,-8.5,-75.5
Catio,7.166666667,-76.33333333
Cavineña,-13.33333333,-66.5
Campa (Axininca),-12,-74
Cayapa,0.666666667,-79
Chumash (Barbareño),34.5,-120.25
Chácobo,-12.16666667,-66.75
Chocho,17.66666667,-97.41666667
Chickasaw,34,-88
Chinantec (Comaltepec),17.58333333,-96.41666667
Chasta Costa,42.66666667,-124
Cocopa,32.33333333,-115
Choctaw,32.25,-88.5
Carib (De'kwana),5.5,-65
Cree (Swampy),56,-90
Cebuano,10,124
Chicomuceltec,15.5,-92.25
Cèmuhî,-20.83333333,165.1666667
Chaga,-3,37
