City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Sliema,1.7,7.25,2.98,1.2,596.74,1363.97,81.05,52.84,72.22,67.78,65.03,22.19
Sofia,0.87,3.93,3.06,1.11,349.35,353.72,71.97,23.03,51.43,26.63,37.72,48.26
Stavanger,4.48,10.65,13.44,1.68,2240.74,2957.77,79.41,46.59,62.48,29.13,76.5,20.83
Stockholm,3,11.01,7.91,1.46,1501.88,2002.51,82.85,51.03,82.5,13.93,78.58,25.62
Strasbourg,2.13,7.25,4.26,1.32,937.73,1790.21,84.18,72.23,42.81,39.91,66.5,47.27
Stuttgart,2.13,6.82,4.26,1.32,980.35,1943.66,82.48,65.82,80.38,16.89,90.4,23.96
Sydney,2.35,12.1,10.75,1,2788.71,2755.12,94.53,54.82,71.27,18.48,74.32,32.8
Taipei,1.75,6.01,8.14,0.77,784.52,942.66,77.42,38.19,88.89,87.62,52.35,15.71
Tampa,2.45,6.21,9.81,0.6,915.28,2033.87,84.27,75.72,56.94,49.89,80.75,60.73
Tehran,1.96,2.62,26.15,0.37,980.65,392.26,72.13,18.09,43.98,87.62,14.33,54.16
The Hague,2.26,8.1,4.05,1.52,1363.97,2386.95,83.23,68.28,66.74,37.21,79.99,29.76
Thessaloniki,2.98,6.82,5.11,1.45,468.87,596.74,73.76,24.58,61.94,34.62,43.61,41.64
Tirana,0.85,3.12,4.26,1.27,426.24,285.76,69.78,17.8,44.44,80.84,36.81,47.99
Tokyo,2.3,11.8,8.52,0.98,1967.31,2065.67,80,47.57,71.53,30.54,69.29,13.91
Toronto,2.23,8.29,9.5,0.83,1593.78,1912.54,88.42,61.44,66.11,8.95,77.02,27.4
Toulouse,1.92,7.25,4.26,1.28,1022.98,2011.86,82.1,54.47,81.01,36.23,66.66,47.27
Trondheim,3.81,12.32,13.44,1.57,1680.55,2800.92,80.36,51.22,81.67,14.53,82.67,19.8
Ulaanbaatar,1.75,3.27,6.54,0.78,1307.54,326.88,68.29,15.35,43.06,55.87,24.5,46.87
Utrecht,2.13,6.82,4.26,1.45,1193.48,1611.19,79.7,49.87,70.9,18.27,72.61,29.76
Vadodara,0.72,2.17,6.03,0.84,120.68,307.73,76.54,36.37,77.87,92.42,54.98,32.03
Valencia,1.28,6.82,4.26,1.24,596.74,1193.48,81.06,49.11,72.07,35.24,64.89,26.04
Vancouver,2.55,7.97,12.75,0.89,1848.79,1657.53,82.59,48.06,83.73,18.48,71.89,30.03
Varna,0.83,3.93,3.06,1.09,305.68,283.85,71.11,20.34,50.23,80.84,36.03,36.46
Venice,1.28,6.82,3.41,1.4,1278.72,1875.46,78.82,45.69,72.67,11.48,70.34,21.48
Victoria,2.39,7.65,9.56,0.83,1083.77,1657.53,81.44,52.91,79.63,68.93,80.87,42.45
Vienna,2.13,7.67,4.26,1.25,1248.9,1619.72,81.84,51.21,79.86,22.39,77.21,27.45
Vilnius,1.23,4.44,4.44,1.19,493.78,457.29,72.45,24.17,77.31,82.08,64.19,27.93
Warsaw,1.66,5.19,5.19,1.18,726.59,664.31,76.76,35.77,63.33,86.16,51.82,32.03
Washington,2.37,7.85,7.85,0.69,2451.63,2484.32,81.74,56.61,64.44,30.55,76.92,51.43
Wellington,2.2,8.82,8.27,1.17,1515.65,1763.67,81.06,49.11,73.72,30.55,79.83,27.38
Zagreb,1.12,3.7,4.48,1.23,504.36,605.23,73.84,26.71,52.78,83.45,47.59,32.29
Zurich,3.28,12.59,8.4,1.31,2378.61,4197.55,85.89,79.58,78.33,18.04,97.91,15.35
